H	Ext	Back	LR	SR	
498.75	5.0587327E-5	1.0117465E-6	50	1.6705273	
502.5	5.0564909E-5	1.0112982E-6	50	1.6703584	
506.25	5.0622217E-5	1.0124443E-6	50	1.6712466	
510	5.089785E-5	1.017957E-6	50	1.6750307	
513.75	5.1088569E-5	1.0217714E-6	50	1.6776899	
517.5	5.1197216E-5	1.0239443E-6	50	1.6792614	
521.25	5.1340666E-5	1.0268133E-6	50	1.6812953	
525	5.1501157E-5	1.0300231E-6	50	1.6835562	
528.75	5.1655607E-5	1.0331121E-6	50	1.6857378	
532.5	5.188529E-5	1.0377058E-6	50	1.6889193	
536.25	5.2148977E-5	1.0429795E-6	50	1.6925536	
540	5.2178856E-5	1.0435771E-6	50	1.6930837	
543.75	5.216216E-5	1.0432432E-6	50	1.6929953	
547.5	5.2361414E-5	1.0472283E-6	50	1.6957765	
551.25	5.2547764E-5	1.0509553E-6	50	1.6983873	
555	5.277505E-5	1.055501E-6	50	1.7015433	
558.75	5.2902726E-5	1.0580545E-6	50	1.7033762	
562.5	5.2815762E-5	1.0563152E-6	50	1.7023555	
566.25	5.2764887E-5	1.0552977E-6	50	1.7018145	
570	5.2957294E-5	1.0591459E-6	50	1.7045098	
573.75	5.322173E-5	1.0644346E-6	50	1.7081646	
577.5	5.3324676E-5	1.0664935E-6	50	1.7096717	
581.25	5.3385431E-5	1.0677086E-6	50	1.7106177	
585	5.3518866E-5	1.0703773E-6	50	1.7125318	
588.75	5.3487167E-5	1.0697433E-6	50	1.7122476	
592.5	5.3311009E-5	1.0662202E-6	50	1.7100392	
596.25	5.3385824E-5	1.0677165E-6	50	1.7111733	
600	5.3564832E-5	1.0712966E-6	50	1.713696	
603.75	5.3633246E-5	1.0726649E-6	50	1.7147459	
607.5	5.3814892E-5	1.0762978E-6	50	1.7173053	
611.25	5.3812253E-5	1.0762451E-6	50	1.7174088	
615	5.3596947E-5	1.0719389E-6	50	1.7146765	
618.75	5.3609017E-5	1.0721803E-6	50	1.7149755	
622.5	5.3523572E-5	1.0704714E-6	50	1.7139736	
626.25	5.3296635E-5	1.0659327E-6	50	1.7110835	
630	5.3218345E-5	1.0643669E-6	50	1.7101758	
633.75	5.3098431E-5	1.0619686E-6	50	1.7087119	
637.5	5.287166E-5	1.0574332E-6	50	1.7058209	
641.25	5.290476E-5	1.0580952E-6	50	1.7063984	
645	5.3081518E-5	1.0616304E-6	50	1.7088944	
648.75	5.3077958E-5	1.0615592E-6	50	1.7089826	
652.5	5.3135173E-5	1.0627035E-6	50	1.7098826	
