H	Ext	Back	LR	SR	Back_sp	LR_sp	SR_sp	
498.75	-7.9327192E-5	2.2201172E-6	-35.731083	2.4713658	2.2181247E-6	-35.763179	2.4700453	
502.5	-8.2996254E-5	2.2227401E-6	-37.339613	2.4733859	2.2197726E-6	-37.389529	2.4714188	
506.25	-8.6665315E-5	2.2269571E-6	-38.916473	2.4764637	2.2211643E-6	-39.017967	2.4726231	
510	-9.0334375E-5	2.2210652E-6	-40.671644	2.4728395	2.2222997E-6	-40.649052	2.4736581	
513.75	-9.4003434E-5	2.2172705E-6	-42.396016	2.4706048	2.2231788E-6	-42.283344	2.4745235	
517.5	-9.7672492E-5	2.2179702E-6	-44.036882	2.471351	2.2238017E-6	-43.921404	2.4752194	
521.25	-0.00010134155	2.2210405E-6	-45.627962	2.4736704	2.2241683E-6	-45.563795	2.4757457	
525	-0.00010501061	2.2266761E-6	-47.160253	2.4776932	2.2242787E-6	-47.211083	2.4761022	
528.75	-0.00010867966	2.2272445E-6	-48.795568	2.4783543	2.2241328E-6	-48.863836	2.4762889	
532.5	-0.00011234871	2.2213224E-6	-50.577401	2.4747068	2.2237307E-6	-50.522627	2.4763056	
536.25	-0.00011601777	2.2220427E-6	-52.212214	2.4754687	2.2230723E-6	-52.188033	2.4761523	
540	-0.00011968682	2.2290913E-6	-53.6931	2.4804338	2.2221576E-6	-53.860635	2.4758289	
543.75	-0.00012335587	2.2176605E-6	-55.624326	2.4731257	2.2209867E-6	-55.541022	2.4753352	
547.5	-0.00012702492	2.2024229E-6	-57.675082	2.4632856	2.2195595E-6	-57.229789	2.4746711	
551.25	-0.00013069397	2.2113221E-6	-59.102186	2.4694814	2.2178761E-6	-58.927535	2.4738367	
555	-0.00013258891	2.2220638E-6	-59.669262	2.4769042	2.215261E-6	-59.8525	2.4723827	
558.75	-0.0001310325	2.2198614E-6	-59.027334	2.4757251	2.2126974E-6	-59.218446	2.4709626	
562.5	-0.00012678908	2.2205468E-6	-57.098136	2.4764658	2.2101588E-6	-57.366502	2.4695587	
566.25	-0.00012414633	2.213497E-6	-56.086061	2.4720626	2.2072374E-6	-56.245117	2.4678997	
570	-0.00012293171	2.2047076E-6	-55.758739	2.4665007	2.2043565E-6	-55.767619	2.4662671	
573.75	-0.00012182714	2.2109334E-6	-55.102131	2.4709262	2.2015195E-6	-55.33775	2.4646633	
577.5	-0.00012044797	2.2037107E-6	-54.656889	2.4664047	2.1988544E-6	-54.777603	2.4631731	
581.25	-0.00011622429	2.1899396E-6	-53.071917	2.457523	2.1961737E-6	-52.921267	2.4616721	
585	-0.00011009781	2.1961535E-6	-50.132109	2.4619416	2.1928938E-6	-50.206629	2.4597717	
588.75	-0.00010782734	2.1883429E-6	-49.273513	2.4570242	2.1893802E-6	-49.250169	2.4577149	
592.5	-0.00010996162	2.1666184E-6	-50.752645	2.4428391	2.1865723E-6	-50.289493	2.4561272	
596.25	-0.00010780701	2.1678774E-6	-49.729292	2.4439569	2.1834264E-6	-49.375151	2.4543136	
600	-0.00010484056	2.1745599E-6	-48.212313	2.4486882	2.1790284E-6	-48.113445	2.4516651	
603.75	-0.00010703142	2.1679578E-6	-49.369698	2.4445694	2.1741514E-6	-49.229057	2.4486963	
607.5	-0.00010657491	2.1684669E-6	-49.147582	2.4451881	2.1693098E-6	-49.128486	2.4457498	
611.25	-0.00010314549	2.1734809E-6	-47.456358	2.4488097	2.1645907E-6	-47.651268	2.4428836	
615	-9.9985833E-5	2.1686736E-6	-46.104602	2.4458846	2.1596774E-6	-46.296652	2.4398867	
618.75	-9.4601428E-5	2.1668909E-6	-43.657679	2.444975	2.154854E-6	-43.901549	2.4369483	
622.5	-8.6940384E-5	2.1641388E-6	-40.173202	2.4434183	2.1494946E-6	-40.446896	2.433651	
626.25	-7.8799205E-5	2.1527974E-6	-36.603168	2.4361308	2.1434746E-6	-36.76237	2.4299115	
630	-7.2856859E-5	2.1428288E-6	-34.000316	2.4297562	2.1391269E-6	-34.059157	2.4272861	
633.75	-7.1276179E-5	2.1313011E-6	-33.442567	2.4223382	2.1353913E-6	-33.378509	2.4250678	
637.5	-7.2823499E-5	2.1260667E-6	-34.252688	2.4191178	2.1309622E-6	-34.173998	2.4223855	
641.25	-7.3200455E-5	2.1301392E-6	-34.364165	2.4221091	2.127208E-6	-34.411517	2.4201522	
645	-7.1200915E-5	2.1223158E-6	-33.54869	2.4171579	2.1226709E-6	-33.543077	2.417395	
648.75	-6.977068E-5	2.0991531E-6	-33.237538	2.4019596	2.1164977E-6	-32.965157	2.4135436	
652.5	-6.9487219E-5	2.1014534E-6	-33.066268	2.4037643	2.1110858E-6	-32.915393	2.4101987	
656.25	-6.9261893E-5	2.1079895E-6	-32.856849	2.4083993	2.1068175E-6	-32.875126	2.4076163	
660	-7.0182561E-5	2.0937397E-6	-33.520195	2.3991453	2.1023583E-6	-33.382778	2.4049047	
663.75	-7.0815337E-5	2.0893736E-6	-33.893095	2.3964934	2.0979589E-6	-33.754397	2.4022316	
667.5	-7.0339616E-5	2.0899452E-6	-33.656201	2.3971408	2.0944825E-6	-33.583291	2.400174	
671.25	-6.8842078E-5	2.0890948E-6	-32.953066	2.3968373	2.0911254E-6	-32.921066	2.398195	
675	-6.5197228E-5	2.087586E-6	-31.230918	2.3960929	2.0873033E-6	-31.235148	2.3959039	
678.75	-6.2584721E-5	2.0934443E-6	-29.895575	2.4002757	2.083919E-6	-30.032223	2.3939043	
682.5	-6.1908931E-5	2.102518E-6	-29.445138	2.4066108	2.0806448E-6	-29.754685	2.3919774	
686.25	-5.9859186E-5	2.080985E-6	-28.764834	2.392468	2.0766908E-6	-28.824313	2.3895946	
690	-5.78328E-5	2.0639103E-6	-28.020985	2.3813034	2.0719425E-6	-27.912357	2.3866792	
693.75	-5.6409869E-5	2.0621617E-6	-27.354726	2.3803937	2.0672866E-6	-27.286912	2.3838242	
697.5	-5.5421546E-5	2.0520022E-6	-27.008521	2.3738522	2.0636277E-6	-26.856368	2.3816356	
701.25	-5.6279E-5	2.058999E-6	-27.333185	2.3787967	2.0593251E-6	-27.328856	2.3790151	
705	-5.9901958E-5	2.0708492E-6	-28.926276	2.3869938	2.052823E-6	-29.180284	2.3749203	
708.75	-6.1875008E-5	2.0565695E-6	-30.086514	2.3776896	2.0461332E-6	-30.23997	2.3706983	
712.5	-6.2703681E-5	2.0383015E-6	-30.762712	2.3657096	2.0401615E-6	-30.734665	2.3669559	
716.25	-6.7375962E-5	2.0323101E-6	-33.152402	2.3619525	2.0340268E-6	-33.124422	2.3631029	
720	-7.0126461E-5	2.0281461E-6	-34.576632	2.3594189	2.0270639E-6	-34.595091	2.3586936	
723.75	-6.820084E-5	2.0124511E-6	-33.88944	2.3491541	2.0190492E-6	-33.778692	2.3535775	
727.5	-6.5000089E-5	2.0024758E-6	-32.459862	2.342721	2.0107159E-6	-32.326839	2.3482462	
731.25	-6.2752172E-5	2.0077381E-6	-31.255158	2.3465048	2.0025789E-6	-31.33568	2.3430447	
735	-5.9048022E-5	1.9970668E-6	-29.567375	2.3396024	1.9953364E-6	-29.593016	2.3384417	
738.75	-5.2219983E-5	1.9822751E-6	-26.34346	2.3299332	1.989112E-6	-26.252912	2.3345202	
742.5	-5.2102682E-5	1.9811789E-6	-26.298827	2.3294511	1.982682E-6	-26.27889	2.3304597	
746.25	-5.7829287E-5	1.9806488E-6	-29.197143	2.3293491	1.9757425E-6	-29.269648	2.3260561	
750	-6.0604951E-5	1.9674865E-6	-30.803235	2.3207676	1.9675569E-6	-30.802134	2.3208148	
753.75	-6.3900936E-5	1.9427315E-6	-32.892314	2.3043997	1.9581325E-6	-32.633611	2.3147404	
757.5	-6.512281E-5	1.9366058E-6	-33.627292	2.3005367	1.9490399E-6	-33.412764	2.3088869	
761.25	-6.0538536E-5	1.9456219E-6	-31.115262	2.3068432	1.9399986E-6	-31.205454	2.3030661	
765	-5.6436134E-5	1.9399068E-6	-29.092188	2.303256	1.9298748E-6	-29.243417	2.2965164	
768.75	-5.4140635E-5	1.9219926E-6	-28.169013	2.2914708	1.9190436E-6	-28.212301	2.2894892	
772.5	-4.9515536E-5	1.8984501E-6	-26.082085	2.2758988	1.9078813E-6	-25.953153	2.2822372	
776.25	-4.3689947E-5	1.8925114E-6	-23.085698	2.2721544	1.8964797E-6	-23.037392	2.274822	
780	-4.0398326E-5	1.8985937E-6	-21.278026	2.2764911	1.8843573E-6	-21.438783	2.2669194	
783.75	-3.9684376E-5	1.8938985E-6	-20.953803	2.2735822	1.8721523E-6	-21.197195	2.2589586	
787.5	-4.0227123E-5	1.8797405E-6	-21.400359	2.2643078	1.860925E-6	-21.616735	2.2516526	
791.25	-4.125996E-5	1.8583888E-6	-22.202006	2.2501905	1.848539E-6	-22.320308	2.2435643	
795	-4.1332951E-5	1.8381621E-6	-22.486021	2.2368249	1.8342328E-6	-22.534191	2.234181	
798.75	-4.0292395E-5	1.8098846E-6	-22.262411	2.218036	1.8201956E-6	-22.136299	2.2249752	
802.5	-4.0575824E-5	1.7820267E-6	-22.769481	2.1995223	1.8068759E-6	-22.456342	2.2162489	
806.25	-4.2763268E-5	1.7794894E-6	-24.031202	2.1980486	1.7924045E-6	-23.858045	2.2067437	
810	-4.4154958E-5	1.7718886E-6	-24.919714	2.1931646	1.7759069E-6	-24.86333	2.1958704	
813.75	-4.5127729E-5	1.7508241E-6	-25.775135	2.1792106	1.7598308E-6	-25.64322	2.1852768	
817.5	-4.5206645E-5	1.7441538E-6	-25.918956	2.1749477	1.7452792E-6	-25.902243	2.1757058	
821.25	-4.3490226E-5	1.7405335E-6	-24.986721	2.1727381	1.7308093E-6	-25.127104	2.1661861	
