H	355_Anlg	353_Anlg	460_Anlg	532_Anlg	530_Anlg	355_Anlg_Molec	532_Anlg_Molec		MolecExt355_Anlg	MolecBack355_Anlg	MolecExt353_Anlg	MolecBack353_Anlg	MolecExt460_Anlg	MolecBack460_Anlg	MolecExt532_Anlg	MolecBack532_Anlg	MolecExt530_Anlg	MolecBack530_Anlg
0	7.4759	0.21886859	0.044068365	5.6403804	0.027637245	0	0		0	0	0	0	0	0	0	0	0	0
3.75	11.012444	0.69533085	0.11017135	11.667787	0.095549852	0	0		0	0	0	0	0	0	0	0	0	0
7.5	4.5881123	0.96612633	0.085155203	5.7724593	0.13392684	0	0		0	0	0	0	0	0	0	0	0	0
11.25	2.9895884	0.87101919	0.024788238	-0.34732828	0.11419901	0	0		0	0	0	0	0	0	0	0	0	0
15	5.3202614	0.80918225	0.027062041	1.823342	0.097364555	0	0		0	0	0	0	0	0	0	0	0	0
18.75	3.8313142	0.80308438	0.030503947	1.8582395	0.096326209	0	0		0	0	0	0	0	0	0	0	0	0
22.5	3.3078465	0.74338374	0.015389264	0.5556403	0.089282556	0	0		0	0	0	0	0	0	0	0	0	0
26.25	4.0076846	0.71269498	0.017527321	1.3894657	0.08676106	0	0		0	0	0	0	0	0	0	0	0	0
30	3.4536928	0.70696665	0.018862212	1.400883	0.089869869	0	0		0	0	0	0	0	0	0	0	0	0
33.75	3.2556635	0.69567537	0.013761396	1.0537268	0.094773681	0	0		0	0	0	0	0	0	0	0	0	0
37.5	3.4926172	0.7279539	0.014486345	1.4955345	0.10893721	0	0		0	0	0	0	0	0	0	0	0	0
41.25	3.418379	0.85141469	0.01676361	1.8973102	0.14397558	0	0		0	0	0	0	0	0	0	0	0	0
45	3.6666691	1.1247323	0.01771554	2.6147439	0.21342578	0	0		0	0	0	0	0	0	0	0	0	0
48.75	4.4217434	1.614518	0.02188032	4.1234238	0.32868464	0	0		0	0	0	0	0	0	0	0	0	0
52.5	5.6017939	2.3422473	0.02812669	6.1951983	0.49094782	0	0		0	0	0	0	0	0	0	0	0	0
56.25	7.4719074	3.2901783	0.03537331	8.8063449	0.69438536	0	0		0	0	0	0	0	0	0	0	0	0
60	10.000109	4.41459	0.04436499	11.881489	0.92691234	0	0		0	0	0	0	0	0	0	0	0	0
